	I	O	P	pmid	y
971	METHODS: The AIRE study randomized 2006 patients with clinical or radiological evidence of heart failure within 2-9 days of a myocardial infarction to receive ramipiril 5 mg b.d.	Effect of ramipril on morbidity and mode of death among survivors of acute myocardial infarction with clinical evidence of heart failure.	METHODS: The AIRE study randomized 2006 patients with clinical or radiological evidence of heart failure within 2-9 days of a myocardial infarction to receive ramipiril 5 mg b.d.	9049514	1
972	We conducted a case-control study to investigate the role of occupational hydrocarbon exposure, along with polymorphisms of the genes coding for N-acetyltransferase 2 (NAT2) and glutathione S-transferase mu (GSTmu), in the development of idiopathic membranous glomerulonephritis (IMGN).	NAT2 acetylator status was identical in patients and controls with 23 (63.9%) fast and 13 (36.1%) slow acetylators in each group.	Patients (n=36) with biopsy-proven IMGN were matched with healthy controls for age, gender, and geographical area.	11181983	-1
973	Forty-eight patients in New York Heart Association functional class II to III, left ventricular ejection fraction < or = 40%, and in sinus rhythm were randomized to a dose-ranging (2.5, 5, 10, 20, or 40 mg) study of omapatrilat for 12 weeks.	Omapatrilat shows beneficial changes in ventricular-vascular coupling and arterial function in heart failure.	Effects of omapatrilat on systemic arterial function in patients with chronic heart failure..	11230840	-1
974	Are angiotensin II receptor blockers more efficacious than placebo in heart failure?	Are angiotensin II receptor blockers more efficacious than placebo in heart failure?	Are angiotensin II receptor blockers more efficacious than placebo in heart failure?	11230847	1
975	In a prospective double-blind randomized study, normotensive patients with type 1 diabetes mellitus with normal serum creatinine and no microalbuminuria were treated with either placebo or perindopril, an ACE inhibitor.	Urine albumine/creatinine ratio (ACR), mean blood pressure (MBP) and index of glomerular filtration rate (GFR) based on S-creatinine were determined.	Randomized placebo-controlled trial of perindopril in normotensive, normoalbuminuric patients with type 1 diabetes mellitus.. Diabetic nephropathy is one of the leading causes of end-stage renal disease.	11181984	1
976	METHODS: Our study is based on reports of drug-associated acute pancreatitis reported to the Netherlands Center for Monitoring of Adverse Reactions to Drugs and The Netherlands Pharmacovigilance Foundation LAREB between 1 January 1977 and 1 January 1998.	METHODS: Our study is based on reports of drug-associated acute pancreatitis reported to the Netherlands Center for Monitoring of Adverse Reactions to Drugs and The Netherlands Pharmacovigilance Foundation LAREB between 1 January 1977 and 1 January 1998.	Drug-associated acute pancreatitis: twenty-one years of spontaneous reporting in The Netherlands..	10484002	-1
977	METHODS: At 302 multinational sites, 5,010 patients in New York Heart Association (NYHA) classification II to IV heart failure taking angiotensin-converting enzyme inhibitor (ACEI) and/or beta-blocker (BB) were randomized into valsartan and placebo groups and followed for a mean of 22.4 months.	OBJECTIVES: The objective of the study was to evaluate the effect of an angiotensin receptor blocker on left ventricular (LV) structure and function when added to prescribed heart failure therapy.	METHODS: At 302 multinational sites, 5,010 patients in New York Heart Association (NYHA) classification II to IV heart failure taking angiotensin-converting enzyme inhibitor (ACEI) and/or beta-blocker (BB) were randomized into valsartan and placebo groups and followed for a mean of 22.4 months.	12225725	-1
978	After 4 weeks placebo run-in 71 patients were randomized to dosages of amlodipine 5-10 mg or lisinopril 10-20 mg, which were titrated on the basis of the effects on blood pressure.	The aim of the study was to compare the effects of two long-acting antihypertensive agents, the calcium-antagonist amlodipine and the ACE inhibitor lisinopril, on left ventricular mass and diastolic filling in patients with mild to moderate diastolic hypertension from primary care centres.	The aim of the study was to compare the effects of two long-acting antihypertensive agents, the calcium-antagonist amlodipine and the ACE inhibitor lisinopril, on left ventricular mass and diastolic filling in patients with mild to moderate diastolic hypertension from primary care centres.	9657538	-1
979	The incidence of first-dose hypotension with quinapril in patients with mild to moderate hypertension.. A total of 2242 patients with mild to moderate hypertension (diastolic pressure 95-120 mmHg) were randomised on a double-blind basis to receive a single dose of placebo, 5 mg quinapril or 10 mg quinapril.	The incidence of first-dose hypotension with quinapril in patients with mild to moderate hypertension.. A total of 2242 patients with mild to moderate hypertension (diastolic pressure 95-120 mmHg) were randomised on a double-blind basis to receive a single dose of placebo, 5 mg quinapril or 10 mg quinapril.	The incidence of first-dose hypotension with quinapril in patients with mild to moderate hypertension.. A total of 2242 patients with mild to moderate hypertension (diastolic pressure 95-120 mmHg) were randomised on a double-blind basis to receive a single dose of placebo, 5 mg quinapril or 10 mg quinapril.	8292465	-1
980	SUBJECTS AND METHODS: Twenty-four diabetics with diastolic blood pressure 90-115 mmHg without azotemia (plasma creatinine level < 150 mumol/l) were evaluated after 4 weeks receiving placebo and 12 weeks receiving treatment either with combined slow-release verapamil (retard formulation) and trandolapril (mean maintenance doses, 180 and 1.6 mg daily) or with atenolol and chlortalidone (71 and 18 mg daily).	SUBJECTS AND METHODS: Twenty-four diabetics with diastolic blood pressure 90-115 mmHg without azotemia (plasma creatinine level < 150 mumol/l) were evaluated after 4 weeks receiving placebo and 12 weeks receiving treatment either with combined slow-release verapamil (retard formulation) and trandolapril (mean maintenance doses, 180 and 1.6 mg daily) or with atenolol and chlortalidone (71 and 18 mg daily).	SUBJECTS AND METHODS: Twenty-four diabetics with diastolic blood pressure 90-115 mmHg without azotemia (plasma creatinine level < 150 mumol/l) were evaluated after 4 weeks receiving placebo and 12 weeks receiving treatment either with combined slow-release verapamil (retard formulation) and trandolapril (mean maintenance doses, 180 and 1.6 mg daily) or with atenolol and chlortalidone (71 and 18 mg daily).	8762212	-1
981	Twelve separate groups were studied: placebo, piretanide 3 mg, piretanide 6 mg, ramipril 2.5 mg, ramipril 5 mg, ramipril 10 mg, and their combinations, as single daily morning doses. Usefulness of piretanide plus ramipril for systemic hypertension: a multicenter trial.. To test the dose responses of piretanide, ramipril, and their combination in patients with essential hypertension, a prospective, randomized, double-blind, placebo-controlled trial was conducted in 480 patients.	The data attest to a combined efficacy of piretanide and ramipril in decreasing arterial blood pressure.	Usefulness of piretanide plus ramipril for systemic hypertension: a multicenter trial.. To test the dose responses of piretanide, ramipril, and their combination in patients with essential hypertension, a prospective, randomized, double-blind, placebo-controlled trial was conducted in 480 patients.	8249842	-1
982	Frequency of postprandial lipemia after a first acute coronary event (unstable angina pectoris or non-ST-segment elevation acute myocardial infarction) and the effects of atenolol on the lipemia..	Frequency of postprandial lipemia after a first acute coronary event (unstable angina pectoris or non-ST-segment elevation acute myocardial infarction) and the effects of atenolol on the lipemia..	Frequency of postprandial lipemia after a first acute coronary event (unstable angina pectoris or non-ST-segment elevation acute myocardial infarction) and the effects of atenolol on the lipemia..	12106847	-1
983	Equivalent effects of nicardipine and captopril on urinary albumin excretion of type 2, non-insulin-dependent diabetic subjects with mild to moderate hypertension.. To test if calcium antagonists and converting enzyme inhibitors can act similarly on urinary albumin excretion of type 2, non-insulin-dependent diabetic subjects with hypertension, a 24 week, double-blind, randomized, parallel multicentre study was performed in 111 such patients allocated to nicardipine 50 mg slow release form (n = 57) or to captopril 25 mg (n = 54) twice daily.	Equivalent effects of nicardipine and captopril on urinary albumin excretion of type 2, non-insulin-dependent diabetic subjects with mild to moderate hypertension.. To test if calcium antagonists and converting enzyme inhibitors can act similarly on urinary albumin excretion of type 2, non-insulin-dependent diabetic subjects with hypertension, a 24 week, double-blind, randomized, parallel multicentre study was performed in 111 such patients allocated to nicardipine 50 mg slow release form (n = 57) or to captopril 25 mg (n = 54) twice daily.	Equivalent effects of nicardipine and captopril on urinary albumin excretion of type 2, non-insulin-dependent diabetic subjects with mild to moderate hypertension.. To test if calcium antagonists and converting enzyme inhibitors can act similarly on urinary albumin excretion of type 2, non-insulin-dependent diabetic subjects with hypertension, a 24 week, double-blind, randomized, parallel multicentre study was performed in 111 such patients allocated to nicardipine 50 mg slow release form (n = 57) or to captopril 25 mg (n = 54) twice daily.	8762219	-1
984	The recommendation for first-line therapy for hypertension remains a beta blocker or diuretic given in a low dosage.	A target blood pressure of less than 140/90 mm Hg is achieved in about 50 percent of patients treated with monotherapy; two or more agents from different pharmacologic classes are often needed to achieve adequate blood pressure control.	Combination antihypertensive drugs: recommendations for use..	10839554	-1
985	Eighteen consecutive hypertensive insulin-dependent diabetes patients with nephropathy (mean age, 33 years) who had not been treated previously were all treated with captopril in combination with frusemide or bendrofluazide.	Renal function was assessed every 6 months by measurement of glomerular filtration rate (GFR) (single-bolus 51Cr-EDTA technique) and albuminuria by radioimmunoassay.	Eighteen consecutive hypertensive insulin-dependent diabetes patients with nephropathy (mean age, 33 years) who had not been treated previously were all treated with captopril in combination with frusemide or bendrofluazide.	7611276	1
986	Relations between fasting serum insulin, glucose, and dihydroepiandrosterone-sulfate concentrations in obese patients with hypertension: short-term effects of antihypertensive drugs.. A randomized, single-blind, placebo-controlled study was conducted in 82 obese patients with mild to moderate essential hypertension, to determine the incidence of hyperinsulinemia, the relations between fasting insulin and dihydroepiandrosterone-sulfate (DHEA-S) levels, and the short-term effects of antihypertensives on DHEA-S and insulin serum concentrations.	Relations between fasting serum insulin, glucose, and dihydroepiandrosterone-sulfate concentrations in obese patients with hypertension: short-term effects of antihypertensive drugs.. A randomized, single-blind, placebo-controlled study was conducted in 82 obese patients with mild to moderate essential hypertension, to determine the incidence of hyperinsulinemia, the relations between fasting insulin and dihydroepiandrosterone-sulfate (DHEA-S) levels, and the short-term effects of antihypertensives on DHEA-S and insulin serum concentrations.	Relations between fasting serum insulin, glucose, and dihydroepiandrosterone-sulfate concentrations in obese patients with hypertension: short-term effects of antihypertensive drugs.. A randomized, single-blind, placebo-controlled study was conducted in 82 obese patients with mild to moderate essential hypertension, to determine the incidence of hyperinsulinemia, the relations between fasting insulin and dihydroepiandrosterone-sulfate (DHEA-S) levels, and the short-term effects of antihypertensives on DHEA-S and insulin serum concentrations.	9335414	-1
987	Forty-three patients with symptomatic congestive heart failure were evaluated biweekly for 1 month before addition of losartan and weekly during administration of losartan at a daily dose of 25 mg for the first week and 50 mg for the second week.	Serum potassium and sodium and parameters of renal function remained unchanged.	Combining AT1-receptor blockade with losartan to maximally recommended or tolerated ACE inhibition appears safe and leads to further vasodilatation in symptomatic patients with congestive heart failure.	9335416	-1
988	After a 2-week placebo and 4-week single-blind benazepril, 10 mg once daily, run-in period, 448 patients, 213 men and 235 women, aged 24-73 years (mean, 55 years), with mean diastolic blood pressure (DBP) > or =95 and < or =120 mm Hg at the end of the benazepril run-in period, were randomized to receive one of the following treatments once daily for 8 weeks: (a) benazepril, 10 mg, plus placebo (BZ10); (b) benazepril, 10 mg, plus amlodipine, 2.5 mg (BZ10/AML2.5); or (c) benazepril, 10 mg, plus amlodipine, 5 mg (BZ10/AML5). In a multicenter, randomized, double-blind, placebo-controlled study, we evaluated the efficacy and tolerability of the combination of benazepril, 10 mg, and amlodipine, 2.5 or 5 mg once daily, compared with benazepril, 10 mg, monotherapy in patients with hypertension inadequately controlled with angiotensin-converting enzyme (ACE)-inhibitor monotherapy.	There was no difference in efficacy and safety/tolerability between the BZ10/AML2.5 and BZ10/AML5 groups.	After a 2-week placebo and 4-week single-blind benazepril, 10 mg once daily, run-in period, 448 patients, 213 men and 235 women, aged 24-73 years (mean, 55 years), with mean diastolic blood pressure (DBP) > or =95 and < or =120 mm Hg at the end of the benazepril run-in period, were randomized to receive one of the following treatments once daily for 8 weeks: (a) benazepril, 10 mg, plus placebo (BZ10); (b) benazepril, 10 mg, plus amlodipine, 2.5 mg (BZ10/AML2.5); or (c) benazepril, 10 mg, plus amlodipine, 5 mg (BZ10/AML5).	9335410	-1
989	Thirty-two congestive heart failure patients (left ventricular ejection fraction, 35 +/- 6%; New York Heart Association class II or III) with VTs (Lown grade IVa or IVb) were randomly assigned to receive either conventional therapy, consisting of diuretics and digitalis (control group), or conventional therapy plus cilazapril (cilazapril group).	Plasma norepinephrine levels and heart rate variability (standard deviation about the mean RR interval) were compared at baseline and after 2 months of treatment.	Effects of cilazapril on ventricular arrhythmia in patients with congestive heart failure.. Angiotensin-converting enzyme (ACE) inhibitors reduce mortality and morbidity in patients with congestive heart failure.	9220212	-1
990	The authors analyzed a database of 18,895 patients of the Gruppo Italiano per lo Studio della Sopravvivenza nell'Infarto Miocardio-3 (GISSI-3) Trial in which patients were allocated either to receive lisinopril or not to receive lisinopril within 24 hours of the onset of symptoms of myocardial infarction.	Aspirin does not interact with ACE inhibitors when both are given early after acute myocardial infarction: results of the GISSI-3 Trial.. Aspirin (ASA) and angiotensin-converting enzyme inhibitor (ACEi) therapy reduce mortality when administered early after the onset of myocardial infarction.	The authors analyzed a database of 18,895 patients of the Gruppo Italiano per lo Studio della Sopravvivenza nell'Infarto Miocardio-3 (GISSI-3) Trial in which patients were allocated either to receive lisinopril or not to receive lisinopril within 24 hours of the onset of symptoms of myocardial infarction.	11728260	-1
991	Efficacy and tolerability of doxazosin versus enalapril in the treatment of patients with mild-to-moderate hypertension..	Systolic blood pressure was significantly decreased from baseline to end of treatment in both groups.	The effects of 4 weeks of treatment with doxazosin or enalapril on diastolic blood pressure (DBP) and plasma lipid levels were studied in 160 patients 18 to 50 years old with mild-to-moderate hypertension.	9220210	-1
992	Patient characteristics in cases of chronic severe heart failure with different degrees of left ventricular systolic dysfunction..	In patients with severe chronic congestive heart failure in NYHA IV, an optional protocol in the CONSENSUS-I trial was designed to ascertain whether there were any differences in patient characteristics regarding the degree of LVD defined as left ventricular fractional shortening (FS).	In conclusion, patients with advanced chronic congestive heart failure and less severe LVD have different demographic characteristics than patients with more severe LVD.	7987868	-1
993	METHODS AND RESULTS: Five hundred forty-five patients enrolled in a multicenter 24-week comparison of the effects of omapatrilat and lisinopril on functional capacity in patients with heart failure reported a visual analog scale (VAS) score of their overall health perception at week 12 of the study.	METHODS AND RESULTS: Five hundred forty-five patients enrolled in a multicenter 24-week comparison of the effects of omapatrilat and lisinopril on functional capacity in patients with heart failure reported a visual analog scale (VAS) score of their overall health perception at week 12 of the study.	A health perception score predicts cardiac events in patients with heart failure: results from the IMPRESS trial.. BACKGROUND: New York Heart Association (NYHA) class and treadmill exercise test variables are widely used for estimating prognosis and measuring the outcomes of treatment in patients with heart failure, but they do not take patients' perceptions into account.	11420767	-1
994	"OBJECTIVE: The Swedish Trial in Old Patients with Hypertension-2 (STOP-Hypertension-2) was designed by a project group of the Swedish Hypertension Society to test whether the ""newer"" treatment alternatives (ACE inhibitors and calcium antagonists) are as good as, better or less good than, the ""older"" ones (beta-blockers and diuretics) in terms of preventing cardiovascular morbidity and mortality in elderly hypertensives."	"OBJECTIVE: The Swedish Trial in Old Patients with Hypertension-2 (STOP-Hypertension-2) was designed by a project group of the Swedish Hypertension Society to test whether the ""newer"" treatment alternatives (ACE inhibitors and calcium antagonists) are as good as, better or less good than, the ""older"" ones (beta-blockers and diuretics) in terms of preventing cardiovascular morbidity and mortality in elderly hypertensives."	"OBJECTIVE: The Swedish Trial in Old Patients with Hypertension-2 (STOP-Hypertension-2) was designed by a project group of the Swedish Hypertension Society to test whether the ""newer"" treatment alternatives (ACE inhibitors and calcium antagonists) are as good as, better or less good than, the ""older"" ones (beta-blockers and diuretics) in terms of preventing cardiovascular morbidity and mortality in elderly hypertensives."	8879603	-1
995	Because thrombolysis was not a study therapy in the GISSI-3 trial, the decision about thrombolysis was left to the responsible physicians.	We evaluated the data on thrombolytic therapy among patients with acute myocardial infarction enrolled in the GISSI-3 trial to study the relation between rate of prescription and the characteristics of patients and participating coronary care units.	We evaluated the data on thrombolytic therapy among patients with acute myocardial infarction enrolled in the GISSI-3 trial to study the relation between rate of prescription and the characteristics of patients and participating coronary care units.	9506330	-1
996	All patients were randomly assigned to take aspirin 75 mg/day or placebo, and patients in the aspirin group had a 15% lower rate of major cardiovascular events and myocardial infarctions than did patients who received placebo.	In the Hypertension Optimal Treatment (HOT) study, hypertensive patients who were randomly assigned to undergo antihypertensive treatment to achieve a goal diastolic blood pressure of 80 mm Hg or lower did not experience fewer cardiovascular events than did patients who received treatment with goal pressures of 85 or 90 mm Hg.	In the Hypertension Optimal Treatment (HOT) study, hypertensive patients who were randomly assigned to undergo antihypertensive treatment to achieve a goal diastolic blood pressure of 80 mm Hg or lower did not experience fewer cardiovascular events than did patients who received treatment with goal pressures of 85 or 90 mm Hg.	9988956	-1
997	Adverse drug reactions in the mouth..	Adverse drug reactions in the mouth..	Adverse drug reactions in the mouth..	11134847	-1
998	In a randomized double blind study, the arterial changes produced either by hydrochlorothiazide plus amiloride (Group I), or by hydrochlorothiazide plus captopril (Group II) were investigated in two territories of the arterial tree, the common carotid artery and the terminal aorta.	For similar BP reduction, the combination of hydrochlorothiazide and amiloride had no significant effect on the carotid reflection wave, but caused a significant reduction in the aortic diastolic diameter.	For similar BP reduction, the combination of hydrochlorothiazide and amiloride had no significant effect on the carotid reflection wave, but caused a significant reduction in the aortic diastolic diameter.	8867559	-1
999	METHODS: Thirty patients were randomized to receive either irbesartan (150 mg once daily) (n = 15, mean age 65.2 +/- 8.7 years, 9 men and 6 women) or fosinopril (20 mg once daily) (n = 15, mean age 57.4 +/- 11.5 years, 4 men and 11 women, difference are not significant) during 12 weeks.	[Comparison of the antihypertensive activity of fosinopril and irbesartan]..	METHODS: Thirty patients were randomized to receive either irbesartan (150 mg once daily) (n = 15, mean age 65.2 +/- 8.7 years, 9 men and 6 women) or fosinopril (20 mg once daily) (n = 15, mean age 57.4 +/- 11.5 years, 4 men and 11 women, difference are not significant) during 12 weeks.	12522893	-1
1000	How adverse drug reactions can play a role in innovative drug research.. We describe how adverse drug reactions (ADRs) can play an important role in pharmaceutical research and drug development.	How adverse drug reactions can play a role in innovative drug research.. We describe how adverse drug reactions (ADRs) can play an important role in pharmaceutical research and drug development.	Historical analysis shows that in several instances research in the field of angiotensin-converting enzyme inhibitors has been triggered by ADRs.	8597776	-1
1001	INTERVENTIONS: After induction of anaesthesia patients continuously received the alpha 2 agonist clonidine (group 1, n = 22), the phosphodiesterase (PDE) III inhibitor enoximone (group 2, n = 22), the angiotensin converting enzyme (ACE) inhibitor enalaprilat (group 3, n = 22), or saline solution as placebo (control group, n = 22).	MAIN OUTCOME MEASURES: The ST segment was analysed and the activity of creatine kinase isoenzyme MB (CKMB), cardiac troponin T (TnT), and the BB isoenzyme of glycogen phosphorylase (GPBB) were measured before the start of infusion (baseline), after weaning from cardiopulmonary bypass (CPB), at the end of surgery, 5 h after CPB, and on the morning of the first and third postoperative days.	PATIENTS: 88 consecutive patients undergoing coronary artery bypass surgery.	8868976	-1
1002	OBJECTIVES: This study was performed to assess the quality of life of patients with left ventricular dysfunction for up to 2 years after randomization to enalapril or placebo.	METHODS: A brief quality of life questionnaire assessing the quality of life was administered at baseline and at 6 weeks, 1 year and 2 years of follow-up to patients randomized to placebo or enalapril in the Studies of Left Ventricular Dysfunction (SOLVD).	Quality of life among 5,025 patients with left ventricular dysfunction randomized between placebo and enalapril: the Studies of Left Ventricular Dysfunction.	8294693	-1
1003	The successful progress of pharmacology in the treatment of several diseases has led to the development of a powerful pharmaceutical industry with an estimated market of over $250 billion.	The successful progress of pharmacology in the treatment of several diseases has led to the development of a powerful pharmaceutical industry with an estimated market of over $250 billion.	The successful progress of pharmacology in the treatment of several diseases has led to the development of a powerful pharmaceutical industry with an estimated market of over $250 billion.	9442441	-1
1004	ACE inhibition after myocardial infarction: can megatrials provide answers?.	ACE inhibition after myocardial infarction: can megatrials provide answers?.	ACE inhibition after myocardial infarction: can megatrials provide answers?.	7934452	1
1005	METHODS: Using data from the Studies of Left Ventricular Dysfunction (SOLVD) prevention and treatment trials, in which all patients received standardized therapy and follow-up, we conducted a retrospective analysis of the outcomes of asymptomatic and symptomatic left ventricular systolic dysfunction among black and white participants.	Racial differences in the outcome of left ventricular dysfunction.. BACKGROUND: Population-based studies have found that black patients with congestive heart failure have a higher mortality rate than whites with the same condition.	Racial differences in the outcome of left ventricular dysfunction.. BACKGROUND: Population-based studies have found that black patients with congestive heart failure have a higher mortality rate than whites with the same condition.	10029645	1
1006	The aim of this study was to assess rates of depression with calcium channel antagonists using data from prescription event monitoring studies.	Rates of depression in the different drugs and rate ratios (95% CI) were computed.	Cohort study on calcium channel blockers, other cardiovascular agents, and the prevalence of depression..	10417501	-1
1007	Angiotensin-converting enzyme inhibitors and diarrhea..	Angiotensin-converting enzyme inhibitors and diarrhea..	Angiotensin-converting enzyme inhibitors and diarrhea..	12080243	-1
1008	The blood pressure response to antihypertensive treatment with lisinopril or bendrofluazide is related to the calcium and magnesium contents in skeletal muscle.. To evaluate the association between skeletal muscle mineral balance and effect of antihypertensive treatment, 37 patients with essential hypertension, randomly treated with either lisinopril or bendrofluazide, were investigated with skeletal muscle biopsies before and after 6 months of treatment.	The blood pressure response to antihypertensive treatment with lisinopril or bendrofluazide is related to the calcium and magnesium contents in skeletal muscle.. To evaluate the association between skeletal muscle mineral balance and effect of antihypertensive treatment, 37 patients with essential hypertension, randomly treated with either lisinopril or bendrofluazide, were investigated with skeletal muscle biopsies before and after 6 months of treatment.	The blood pressure response to antihypertensive treatment with lisinopril or bendrofluazide is related to the calcium and magnesium contents in skeletal muscle.. To evaluate the association between skeletal muscle mineral balance and effect of antihypertensive treatment, 37 patients with essential hypertension, randomly treated with either lisinopril or bendrofluazide, were investigated with skeletal muscle biopsies before and after 6 months of treatment.	8695028	-1
1009	Comparison of angiotensin II receptor antagonists.. Nonpeptide orally active angiotensin II type 1 (AT1) receptor antagonists are the most specific means presently available to block the renin-angiotensin enzymatic cascade.	Because of their noteworthy safety record to date, and simple once-a-day dosage regimen, AT1 receptor antagonists have the potential to improve compliance in patients with chronic hypertension.	Because of their noteworthy safety record to date, and simple once-a-day dosage regimen, AT1 receptor antagonists have the potential to improve compliance in patients with chronic hypertension.	11473571	-1
1010	French General Hospitals National College of Cardiologists.. An open randomized hospital study conducted in 169 centers in France compared the blood pressure response to the first 36 h of treatment with perindopril (PER), 2 mg once daily, with that to captopril (CAP), 6.25 mg t.i.d., in 725 patients (mean age, 70 years; men, 67%) with echocardiographic left ventricular systolic dysfunction (fractional shortening, < or = 28%) due to ischemia (56.7%) or hypertension (34.5%) and a systolic blood pressure (SBP) > or = 120 mm Hg.	Blood pressure response to the first 36 hours of heart failure therapy with perindopril versus captopril.	French General Hospitals National College of Cardiologists.. An open randomized hospital study conducted in 169 centers in France compared the blood pressure response to the first 36 h of treatment with perindopril (PER), 2 mg once daily, with that to captopril (CAP), 6.25 mg t.i.d., in 725 patients (mean age, 70 years; men, 67%) with echocardiographic left ventricular systolic dysfunction (fractional shortening, < or = 28%) due to ischemia (56.7%) or hypertension (34.5%) and a systolic blood pressure (SBP) > or = 120 mm Hg.	10367600	-1
1011	In a double-blind study with parallel groups, 50 patients with essential hypertension were randomized to treatment with either fosinopril (20 mg o.d.	Left ventricle wall thickness (LVWT, defined as the sum of interventricular septum and posterior wall), diastolic function (represented by the ratio between the E-wave and the A-wave of mitral blood flow) and femoral artery blood flow (FBF) were evaluated using ultrasonic measurements.	In a double-blind study with parallel groups, 50 patients with essential hypertension were randomized to treatment with either fosinopril (20 mg o.d.	9657539	-1
1012	The Captopril Prevention Project (CAPPP) is a randomised intervention trial to compare the effects of ACE inhibition and conventional therapy on cardiovascular morbidity and mortality in patients with hypertension.	The difference in stroke risk is probably due to the lower levels of blood pressure obtained initially in previously treated patients randomised to conventional therapy.	Patients aged 25-66 years with a measured diastolic blood pressure of 100 mm Hg or more on two occasions were randomly assigned captopril or conventional antihypertensive treatment (diuretics, beta-blockers).	10030325	-1
1013	METHODS: Each treatment was taken for 1 month, preceded by a 2-week single-blind run-in period, in which the patients received a low dose of doxazosin (study A) or enalapril (study B) to enable recruitment of patients with moderate or severe hypertension.	Blood pressure, foot volume and plasma noradrenaline concentration were measured at the end of each run-in and treatment period.	METHODS: Each treatment was taken for 1 month, preceded by a 2-week single-blind run-in period, in which the patients received a low dose of doxazosin (study A) or enalapril (study B) to enable recruitment of patients with moderate or severe hypertension.	7594429	-1
1014	Patients received fosinopril or matched placebo 10 mg at least 18 hours before PTCA, 20 mg at least 4 hours before PTCA, and 40 mg daily for 6 months.	CONCLUSIONS: Administration of fosinopril in a dose of 40 mg daily during 6 months after PTCA does not prevent restenosis and has no effect on overall clinical outcome.	The respective numbers in the fosinopril and the control groups were for death, 0 and 0; myocardial infarction, 0 and 0; coronary artery bypass graft surgery, 1 and 3; repeat PTCA, 35 and 35; recurrent signs of ischemia necessitating early repeat coronary angiography and managed medically, 6 and 7; and none of the above, 111 and 106.	8281674	-1
1015	Six-month effects of early treatment with lisinopril and transdermal glyceryl trinitrate singly and together withdrawn six weeks after acute myocardial infarction: the GISSI-3 trial.	The primary outcome of the 6-month follow-up was the combined end point of mortality and severe left ventricular dysfunction.	METHODS: A total of 19,394 patients with acute myocardial infarction were randomized within 24 h of onset of symptoms to a 6-week treatment course of oral lisinopril or open control and, according to a 2 x 2 factorial design, to glyceryl trinitrate or open control.	8557903	1
1016	Results of large (n > 100) randomised double-blind studies in patients with mild, moderate or severe hypertension demonstrated that the antihypertensive efficacy of eprosartan (usually 400 to 800 mg/day as a single daily dose or in 2 divided doses) is significantly greater than that of placebo and at least as good as that of enalapril.	In comparative trials, in which the incidence of persistent dry cough was evaluated as the primary end-point, enalapril was several-fold more likely to induce this adverse event than eprosartan (the difference being statistically significant regardless of study population and definition of cough).	Results of large (n > 100) randomised double-blind studies in patients with mild, moderate or severe hypertension demonstrated that the antihypertensive efficacy of eprosartan (usually 400 to 800 mg/day as a single daily dose or in 2 divided doses) is significantly greater than that of placebo and at least as good as that of enalapril.	10929934	-1
1017	CONCLUSION: It is concluded that plasma BNP levels followed a monophasic pattern after imidapril treatment, whereas a biphasic pattern was followed after placebo, and that plasma BNP levels constitute a marker of ventricular dysfunction in the treatment of acute myocardial infarction with angiotensin-converting enzyme inhibitors.	Effects of angiotensin-converting enzyme inhibitor on plasma B-type natriuretic peptide levels in patients with acute myocardial infarction.. BACKGROUND: Plasma levels of B-type natriuretic peptide (BNP) are markedly increased in patients with heart failure and acute myocardial infarction.	Effects of angiotensin-converting enzyme inhibitor on plasma B-type natriuretic peptide levels in patients with acute myocardial infarction.. BACKGROUND: Plasma levels of B-type natriuretic peptide (BNP) are markedly increased in patients with heart failure and acute myocardial infarction.	9547443	-1
1018	A prospective comparison of four antihypertensive agents in daily clinical practice..	A prospective comparison of four antihypertensive agents in daily clinical practice..	A prospective comparison of four antihypertensive agents in daily clinical practice..	11430394	1
1019	The interpretation of the results of these studies and their application to clinical practice requires an understanding of study design constraints, conflicting results and limitations in extrapolating study findings to other dosage strengths, formulations or agents within the calcium channel antagonist class.	Recent studies have shown an association between the use of calcium channel antagonists for the treatment of hypertension and an increased risk of myocardial infarction, gastrointestinal hemorrhage and cancer.	Recent studies have shown an association between the use of calcium channel antagonists for the treatment of hypertension and an increased risk of myocardial infarction, gastrointestinal hemorrhage and cancer.	9556644	-1
1020	Angiotensin-converting enzyme inhibitors and the role of nitric oxide and excitatory amino acids in improvement of cognition and memory..	Angiotensin-converting enzyme inhibitors and the role of nitric oxide and excitatory amino acids in improvement of cognition and memory..	Angiotensin-converting enzyme inhibitors and the role of nitric oxide and excitatory amino acids in improvement of cognition and memory..	7615575	-1
1021	Novel angiotensin II inhibitors in cardiovascular medicine.. Blockade of the renin-angiotensin-aldosterone cascade is now recognised as a very effective approach to treat hypertensive, heart failure and high cardiovascular risk patients and to retard the development of renal failure.	The purpose of this review is to discuss the state of development of currently available drugs blocking the renin-angiotensin system, such as angiotensin converting enzyme (ACE) inhibitors, renin inhibitors and angiotensin II receptor antagonists, with a special emphasis on the results of the most recent trials conducted with AT(2) receptor antagonists in heart failure and Type 2 diabetes.	The purpose of this review is to discuss the state of development of currently available drugs blocking the renin-angiotensin system, such as angiotensin converting enzyme (ACE) inhibitors, renin inhibitors and angiotensin II receptor antagonists, with a special emphasis on the results of the most recent trials conducted with AT(2) receptor antagonists in heart failure and Type 2 diabetes.	11772299	-1
